eligibility	ineligibility_reason	transaction_month	client_gstin	customer_gstin	supplier_name	invoice_no	transaction_no	document_date	total_taxable_value	gst_rate	igst	cgst	sgst	igst_not_eligible	cgst_not_eligible	sgst_not_eligible	cess	difference_in_amount	hsn	total_value	date_of_entry_in_the_books	date_of_payment_to_vendor	date_of_payment_of_tax_in_case_of_rcm	gstr_2a_month	month_of_availment	reversal_to_be_made	remarks	cy_py_flag	intra_state_flag	inter_state_flag	crossing_180_day	itc_transportation_of_passengers	purchase_of_vehicle	personal_consumption	health_insurance	life_insurance	construction	custom_search	rcm_eligibility
Ineligible	Personal Consumption	May-2021	29AADCM7259F1Z6	33AAECS7375K2ZX	Demo Supp Name	ACP/21-22/164	B1/DPE/00022/21-22	29/Apr/2021	492.86	0.0	0	0	0	88.71	0	0		-89.0		581.57	24/May/2021	28/May/2021					Employees gift for April month 2021	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Ineligible	Eligible	Eligible	Eligible	NA	No
Ineligible	Personal Consumption	May-2021	29AADCM7259F1Z6	33AAECS7375K2ZX	Demo Supp Name	ACMP/21-22/157	B1/DPE/00019/21-22	29/Apr/2021	1000.23	0.0	0	0	0	180.04	0	0		-180.0		1180.27	24/May/2021	28/May/2021					employee gift for April month 2021	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Ineligible	Eligible	Eligible	Eligible	NA	No
Ineligible	Personal Consumption	May-2021	29AADCM7259F1Z6	33AAECS7375K2ZX	Demo Supp Name	ACP/21-22/162	B1/DPE/00023/21-22	22/Apr/2021	1963.6	0.0	0	0	0	353.45	0	0		-353.0		2317.0499999999997	24/May/2021	28/May/2021					Employee gift for April month 2021	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Ineligible	Eligible	Eligible	Eligible	NA	No
Ineligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	33AAECS7375K2ZX	Demo Supp Name	ACMP/21-22/156	B1/DPE/00026/21-22	22/Apr/2021	157.69	0.0	0	0	0	28.38	0	0		-28.0		186.07	25/May/2021						Employees gift for April month 2021	Eligible	Eligible	Eligible	NA	Eligible	Eligible	Ineligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	27AAECS7375K1ZR	Demo Supp Name	MHIL/21-22/53	B1/OBI/00235/21-22	30/Apr/2021	10000.0	18.0	1800	0	0	0	0	0		0.0		11800.0	20/May/2021						IT SUPPORT CHARGES APR'2021	Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Ineligible	Personal Consumption	May-2021	29AADCM7259F1Z6	33AAECS7375K2ZX	Demo Supp Name	ACMP/21-22/152	B1/DPI/00322/21-22	03/Apr/2021	157.69	0.0	0	0	0	28.38	0	0		-28.0	995411	186.07	24/May/2021	28/May/2021					EMPLOYEE GIFTS FOR APRIL MONTH 2021	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Ineligible	Eligible	Eligible	Eligible	NA	No
Ineligible	Personal Consumption	May-2021	29AADCM7259F1Z6	33AAECS7375K2ZX	Demo Supp Name	ACMP/21-22/153	B1/DPI/00323/21-22	05/Apr/2021	327.0	0.0	0	0	0	58.87	0	0		-59.0	995411	385.87	24/May/2021	28/May/2021					EMPLOYEE GIFTS FOR APRIL MOTNH 2021	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Ineligible	Eligible	Eligible	Eligible	NA	No
Ineligible	Personal Consumption	May-2021	29AADCM7259F1Z6	33AAECS7375K2ZX	Demo Supp Name	ACMP/21-22/154	B1/DPI/00324/21-22	17/Apr/2021	157.69	0.0	0	0	0	28.38	0	0		-28.0	995411	186.07	24/May/2021	28/May/2021					EMPLOYEE GIFTS FOR APRIL MOTNH 2021	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Ineligible	Eligible	Eligible	Eligible	NA	No
Ineligible	Personal Consumption	May-2021	29AADCM7259F1Z6	33AAECS7375K2ZX	Demo Supp Name	ACMP/21-22/155	B1/DPI/00325/21-22	21/Apr/2021	571.19	0.0	0	0	0	102.81	0	0		-103.0	995411	674.0	24/May/2021	28/May/2021					EMPLOYEE GIFTS FOR APRIL MOTNH 2021	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Ineligible	Eligible	Eligible	Eligible	NA	No
Ineligible	Personal Consumption	May-2021	29AADCM7259F1Z6	33AAECS7375K2ZX	Demo Supp Name	ACP/21-22/161	B1/DPI/00326/21-22	20/Apr/2021	2144.54	0.0	0	0	0	386.02	0	0		-386.0	995411	2530.56	24/May/2021	28/May/2021					EMPLOYEE GIFTS FOR APRIL MOTNH 2021	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Ineligible	Eligible	Eligible	Eligible	NA	No
Ineligible	Personal Consumption	May-2021	29AADCM7259F1Z6	33AAECS7375K2ZX	Demo Supp Name	ACP/21-22/160	B1/DPI/00327/21-22	10/Apr/2021	492.86	0.0	0	0	0	88.71	0	0		-89.0	995411	581.57	24/May/2021	28/May/2021					EMPLOYEE GIFTS FOR APRIL MOTNH 2021	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Ineligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	480.0	18.0	0	43.2	43.2	0	0	0		0.0		566.4000000000001	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/50	B2/OBI/00038/21-22	26/Apr/2021	3360.0	18.0	0	302.4	302.4	0	0	0		0.0		3964.8	12/May/2021						TWDS SUPPLY OF BROWN TAPE FOR APRIL MONTH	Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/55	B1/OBI/00190/21-22	30/Apr/2021	17250.0	18.0	0	1552.5	1552.5	0	0	0		0.0		20355.0	12/May/2021						TWDS SUPPLY OF BROWN TAPE FOR APRIL MONTH	Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	520.0	18.0	0	46.8	46.8	0	0	0		0.0		613.5999999999999	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	1222.2	18.0	0	110	110	0	0	0		0.0		1442.2	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/49	B2/OBI/00041/21-22	26/Apr/2021	40.0	18.0	0	3.6	3.6	0	0	0		0.0		47.2	13/May/2021							Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/49	B2/OBI/00041/21-22	26/Apr/2021	80.0	18.0	0	7.2	7.2	0	0	0		0.0		94.4	13/May/2021							Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/114	B1/OBI/00242/21-22	12/May/2021	840.0	18.0	0	75.6	75.6	0	0	0		0.0		991.2	21/May/2021						TOWARDS SUPPLY OF PACKING MATERIALS  FOR MAY MONTH 2021(65603)	Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	238.0	5.0	0	5.95	5.95	0	0	0		0.0		249.89999999999998	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/114	B1/OBI/00242/21-22	12/May/2021	1400.0	18.0	0	126	126	0	0	0		0.0		1652.0	21/May/2021						TOWARDS SUPPLY OF PACKING MATERIALS  FOR MAY MONTH 2021(65603)	Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/114	B1/OBI/00242/21-22	12/May/2021	800.0	18.0	0	72	72	0	0	0		0.0		944.0	21/May/2021						TOWARDS SUPPLY OF PACKING MATERIALS  FOR MAY MONTH 2021(65603)	Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	2298.9	18.0	0	206.9	206.9	0	0	0		0.0		2712.7000000000003	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	3050.0	18.0	0	274.5	274.5	0	0	0		0.0		3599.0	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/38	B1/OBI/00154/21-22	22/Apr/2021	1521.0	18.0	0	136.89	136.89	0	0	0		0.0		1794.7799999999997	05/May/2021	28/May/2021					TOWARDS SUPPLY OF HOUSEKEEPING CONSUMABLES FOR APRIL MONTH 2021	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/38	B1/OBI/00154/21-22	22/Apr/2021	2860.0	18.0	0	257.4	257.4	0	0	0		0.0		3374.8	05/May/2021	28/May/2021					TOWARDS SUPPLY OF HOUSEKEEPING CONSUMABLES FOR APRIL MONTH 2021	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	936.0	18.0	0	84.24	84.24	0	0	0		0.0		1104.48	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	3300.0	18.0	0	297	297	0	0	0		0.0		3894.0	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	238.0	5.0	0	5.95	5.95	0	0	0		0.0		249.89999999999998	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/113	B1/OBI/00241/21-22	12/May/2021	260.0	18.0	0	23.4	23.4	0	0	0		0.0		306.79999999999995	21/May/2021						TOWARDS SUPPLY OF HOUSEKEEPING CONSUMABLES FOR MONTH OF MAY 2021(65815)	Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	247.35	18.0	0	22.26	22.26	0	0	0		0.0		291.87	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/56	B1/OBI/00201/21-22	30/Apr/2021	1400.0	5.0	0	35	35	0	0	0		0.0		1470.0	14/May/2021						TOWARDS SUPPLY OF FACE MASK & HAND GLOVES FOR APRIL MONTH 2021	Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	2100.0	5.0	0	52.5	52.5	0	0	0		0.0		2205.0	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	900.0	5.0	0	22.5	22.5	0	0	0		0.0		945.0	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/88	B1/OBI/00193/21-22	30/Apr/2021	400.0	18.0	0	36	36	0	0	0		0.0		472.0	12/May/2021						TOWARDS STATIONARY CHARGES FOR APRIL MONTH 2021	Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	1390.0	18.0	0	125.1	125.1	0	0	0		0.0		1640.1999999999998	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	375.0	18.0	0	33.75	33.75	0	0	0		0.0		442.5	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/49	B2/OBI/00041/21-22	26/Apr/2021	1300.0	12.0	0	78	78	0	0	0		0.0		1456.0	13/May/2021						SUPPLY OF STATIONERY MATERIAL FOR APRIL MONTH	Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/49	B2/OBI/00041/21-22	26/Apr/2021	4040.0	18.0	0	363.6	363.6	0	0	0		0.0		4767.200000000001	13/May/2021							Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	1200.0	18.0	0	108	108	0	0	0		0.0		1416.0	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/114	B1/OBI/00242/21-22	12/May/2021	165.0	12.0	0	9.9	9.9	0	0	0		0.0		184.8	21/May/2021						TOWARDS SUPPLY OF PACKING MATERIALS  FOR MAY MONTH 2021(65603)	Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	135.8	18.0	0	12.22	12.22	0	0	0		0.0		160.24	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/49	B2/OBI/00041/21-22	26/Apr/2021	110.0	18.0	0	9.9	9.9	0	0	0		0.0		129.8	13/May/2021							Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	2200.0	18.0	0	198	198	0	0	0		0.0		2596.0	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	436.5	18.0	0	39.29	39.29	0	0	0		0.0		515.08	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/49	B2/OBI/00041/21-22	26/Apr/2021	105.0	18.0	0	9.45	9.45	0	0	0		0.0		123.9	13/May/2021							Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	1125.2	18.0	0	101.27	101.27	0	0	0		0.0		1327.74	04/May/2021	28/May/2021					TWDS HK CONSUMABLES FOR APRIL MONTH	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/114	B1/OBI/00242/21-22	12/May/2021	1512.0	18.0	0	136.08	136.08	0	0	0		0.0		1784.1599999999999	21/May/2021						TOWARDS SUPPLY OF PACKING MATERIALS  FOR MAY MONTH 20219(65603)	Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	380.0	18.0	0	34.2	34.2	0	0	0		0.0		448.4	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/49	B2/OBI/00041/21-22	26/Apr/2021	280.0	18.0	0	25.2	25.2	0	0	0		0.0		330.4	13/May/2021							Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/49	B2/OBI/00041/21-22	26/Apr/2021	23.0	12.0	0	1.38	1.38	0	0	0		0.0		25.759999999999998	13/May/2021							Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	Missing Pay date Values	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/56	B1/OBI/00201/21-22	30/Apr/2021	660.0	12.0	0	39.6	39.6	0	0	0		0.0		739.2	14/May/2021						TOWARDS SUPPLY OF FACE MASK & HAND GLOVES FOR APRIL MONTH 2021	Eligible	Eligible	Eligible	NA	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	825.0	12.0	0	49.5	49.5	0	0	0		0.0		924.0	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	1050.0	18.0	0	94.5	94.5	0	0	0		0.0		1239.0	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	3137.0	18.0	0	282.33	282.33	0	0	0		0.0		3701.66	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
Eligible	NA	May-2021	29AADCM7259F1Z6	29ABGFA7948C1Z9	Demo Supp Name	ACS/21-22/40	B2/OBI/00027/21-22	22/Apr/2021	2770.32	18.0	0	249.33	249.33	0	0	0		0.0		3268.98	04/May/2021	28/May/2021						Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	Eligible	NA	No
